,,,,
5,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
171,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
6,HW1522NC,,,T-Nut - Square for 2020 - M5 (Single)
8,HW1251NC,,,Hex Locking Nut - M3
17,HW1039NC,,,Hex Locking Nut - M5
15,HW1018NC,,,Aluminium Spacer - 6mm
4,HW2120WC,,,Micro Precision Shim - 6.5 x 5 x 1mm
24,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm - C
8,HW2678NC,,,Nylon Spacer - 3mm x 7mm x 5mm
38,HW2746NC,,,Washer Simple M6 - Black 12.9 Steel
3,HW2204GC,,,Coupler - Spider/Jaw Type - 5mm*8mm
10,HW2806WC,,,Idler Pulley - Smooth for 2GT-20T - 9mm Belt - 5mm Bore (Compressible)
2,HW2854WC,,,Idler Pulley - Toothed for 2GT-20T - 9mm Belt - 5mm Bore (Compressible)
2,HW1654WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth - For 9mm Belt - 5mm Bore
3,HW2118WC,,,Thrust Bearing F8-16M
6,HW2126GC,,,Dowel Pin - 3.0mm x 35.0mm
3,HW2127GC,,,Magnet - 20 x 10 x 5mm - Two hole (M3 Countersink screws)
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28*22*16.5mm
3,HW2128GC,,,Steel Ball - 12mm - Threaded M5
3,HW2205GC,,,TR8*4 Anti-Backlash Nut Block
1,HW2687GK,,,V-Core 3 Extra Parts Bag
1,HW2900GK,,,EVA 2.4.2 Hardware Pack
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2687GK,,,V-Core 3 Extra Parts Bag
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
4,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
8,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
8,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
8,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
8,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
4,HW1039NC,,,Hex Locking Nut - M5
4,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm - C
2,HW2120WC,,,Micro Precision Shim - 6.5 x 5 x 1mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2658GK,,,Rat Rig V-Core 3 - 300mm Standard Kit v1.1
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2642GK,,,Rat Rig V-Core 3 - 300mm Mechanical Kit
1,HW2832EC,,,BTT Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2838EC,,,"RASPBERRY PI 3 B+ (1.4GHz, 1GB RAM, USB 2.0)"
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
4,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
2,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
1,HW2346EK,,,Heater Bed Pad Kit - Keenovo 280 x 280mm 220V 600W(Thermal fuse) + SSR 40A Relay
1,HW1895GC,,,FlexPlate Set - Powder coated PEI 310 x 310 mm
1,HW1351EC,,,Power Supply Weho - 250Watt 24V - Fanless
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2817EC,,,Fan - 50mm Blower Type 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,,,,Printed parts (LGX Lite + Rapido)
,,,,
,,,,
,SKU,,,Product Name
,HW2659GK,,,Rat Rig V-Core 3 - 400mm Standard Kit v1.1
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2643GK,,,Rat Rig V-Core 3 - 400mm Mechanical Kit
1,HW2832EC,,,BTT Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2838EC,,,"RASPBERRY PI 3 B+ (1.4GHz, 1GB RAM, USB 2.0)"
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
4,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
2,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
1,HW2347EK,,,Heater Bed Pad Kit - Keenovo 380 x 380mm 220V 1000W(Thermal fuse) + SSR 40A Relay
1,HW1896GC,,,FlexPlate Set - Powder coated PEI 410 x 410 mm
1,HW1351EC,,,Power Supply Weho - 250Watt 24V - Fanless
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2817EC,,,Fan - 50mm Blower Type 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,,,,Printed parts (LGX Lite + Rapido)
,,,,
,,,,
,SKU,,,Product Name
,HW2660GK,,,Rat Rig V-Core 3 - 500mm Standard Kit v1.1
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2644GK,,,Rat Rig V-Core 3 - 500mm Mechanical Kit
1,HW2832EC,,,BTT Octopus V1.1 Motherboard (board only - no drivers)
1,HW2846EC,,,BigTreeTech TMC2209 Driver SPI (6 x PACK)
1,HW2838EC,,,"RASPBERRY PI 3 B+ (1.4GHz, 1GB RAM, USB 2.0)"
1,HW2847EC,,,Phaetus Rapido UHF Hotend - Black
1,HW2840EC,,,LGX Lite Extruder by Bondtech
5,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
4,HW1698EC,,,Nema 17 Stepper Motor Cable - 1mt
2,HW1699EC,,,Nema 17 Stepper Motor Cable - 2mt
1,HW2729EK,,,Heater Bed Pad Kit - Keenovo 480 x 480mm 220V 1500W(Thermal fuse) + SSR 40A Relay
1,HW1897GC,,,FlexPlate Set - Powder coated PEI 510 x 510 mm
1,HW1351EC,,,Power Supply Weho - 250Watt 24V - Fanless
1,HW2815EC,,,Fan - 40mm Axial Brushless 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2817EC,,,Fan - 50mm Blower Type 24V DC - 1500mm Cable - GDSTime High Quality (Double Ball Bearing)
1,HW2901EC,,,"Rat Rig ""SuperPinda"" probe by Pepperl & Fuchs (Inductive 5VDC Sensor)"
2,HW2685EC,,,Endstop Module - Horizontal Limit switch with 1mt cable and connector
1,,,,Printed parts (LGX Lite + Rapido)
