,,,,
16,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
6,HW1522NC,,,T-Nut - Square for 2020 - M5 (Single)
76,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
4,HW2120WC,,,Micro Precision Shim - 6.5 x 5 x 1mm
3,HW2127GC,,,Magnet - 20 x 10 x 5mm - Two hole (M3 Countersink screws)
6,HW2137SC,,,Countersink Screw M3 (Single) (Length: 20mm)
3,HW2349SC,,,Countersink Screw M5 (Single) (Length: 16mm)
10,HW2173SC,,,Countersink Screw M6 (Single) (Length: 14mm)
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28*22*16.5mm
4,HW2110SC,,,Cap Head Screw M5 (Single) (Length: 18mm)
19,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
2,HW1227SK,,,Cap Head Screw M3 (Single) (Length: 30mm)
3,HW2118WC,,,Thrust Bearing F8-16M
1,HW2687GK,,,V-Core 3 Extra Parts Bag
8,HW2678NC,,,Nylon Spacer - 3mm x 7mm x 5mm
1,HW2077GK,,,EVA 2.2.1 Hardware Pack
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2652GK,,,Rat Rig V-Core 3 - 300mm Leadscrew Pack
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
3,HW2191SC,,,TR8*4 Custom Metric Acme Lead Screw - 380mm
3,HW2204GC,,,Coupler - Spider/Jaw Type - 5mm*8mm
3,HW2205GC,,,TR8*4 Anti-Backlash Nut Block
,,,,
,,,,
,SKU,,,Product Name
,HW2653GK,,,Rat Rig V-Core 3 - 400mm Leadscrew Pack
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
3,HW2192SC,,,TR8*4 Custom Metric Acme Lead Screw - 480mm
3,HW2204GC,,,Coupler - Spider/Jaw Type - 5mm*8mm
3,HW2205GC,,,TR8*4 Anti-Backlash Nut Block
,,,,
,,,,
,SKU,,,Product Name
,HW2654GK,,,Rat Rig V-Core 3 - 500mm Leadscrew Pack
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
3,HW2193SC,,,TR8*4 Custom Metric Acme Lead Screw - 580mm
3,HW2204GC,,,Coupler - Spider/Jaw Type - 5mm*8mm
3,HW2205GC,,,TR8*4 Anti-Backlash Nut Block
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2687GK,,,V-Core 3 Extra Parts Bag
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
8,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
8,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
4,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
8,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
4,HW1039NC,,,Hex Locking Nut - M5
4,HW1630NC,,,Mini Precision Shim - 8 x 5 x 1mm - C
8,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
