,,,,
6,HW306BRC,540,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,550,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,605,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,610,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,522,,V-SLOT 2020 - Black Anodized 1000mm
4,HW2034GC,,,Linear Rail - MGN12 500mm + MGN12C carriage
2,HW2354GC,,,Linear Rail - MGN12 450mm + MGN12C carriage
3,HW2192SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 480mm
1,HW2199PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 429*429*6mm
1,HW1653GC,5000,,Timing Belt  - 2GT 9mm (By the meter)
4,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
20,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
20,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
4,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3021MK,,,Rat Rig V-Core 3.1 - 500mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW306BRC,620,,T-SLOT 3030 - Black Anodized 1000mm
6,HW306BRC,640,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,650,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,705,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,710,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,622,,V-SLOT 2020 - Black Anodized 1000mm
4,HW2356GC,,,Linear Rail - MGN12 600mm + MGN12C carriage
2,HW2355GC,,,Linear Rail - MGN12 550mm + MGN12C carriage
3,HW2193SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 580mm
1,HW2200PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 529*529*6mm
1,HW1653GC,5800,,Timing Belt  - 2GT 9mm (By the meter)
8,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
40,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
40,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
8,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3004MK,,,Rat Rig V-Core 3.1 - Base Parts Kit - All Versions
,,,,13/06/2022
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
20,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
2,HW2201PC,,,V-Core 3.0 - IDLER_PLATE_V1.0
2,HW2202PC,,,V-Core 3.0 - MOTOR_PLATE_V1.0
2,HW2949PC,,,V-Core 3.1 - XY_JOINER_PLATE_V1.1
12,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
